service_id,date,exception_type
001-18-0850102024-M#FR,20241014,2
001-18-0850102024-M#FR,20241021,2
001-18-0950102024-M#FR,20241007,2
001-18-0950102024-M#FR,20241010,2
001-18-0950102024-M#FR,20241014,2
001-18-0950102024-M#FR,20241017,2
001-18-0950102024-M#FR,20241021,2
001-18-0950102024-M#FR,20241024,2
001-18-0950102024-M#FR,20241027,2
001-18-0950122024-M#FR,20241209,2
001-2-0620102024-M#FR,20241014,2
001-2-0620102024-M#FR,20241021,2
001-2-0720102024-M#FR,20241007,2
001-2-0720102024-M#FR,20241010,2
001-2-0720102024-M#FR,20241014,2
001-2-0720102024-M#FR,20241017,2
001-2-0720102024-M#FR,20241021,2
001-2-0720102024-M#FR,20241024,2
001-2-0720102024-M#FR,20241027,2
001-2-0720122024-M#FR,20241209,2
001-26-1230102024-M#FR,20241017,2
001-26-1230102024-M#FR,20241024,2
001-26-1315102024-M#FR,20241003,2
001-26-1315102024-M#FR,20241010,2
001-26-1330012025-M#FR,20250109,2
001-26-1330102024-M#FR,20241007,2
001-26-1330102024-M#FR,20241010,2
001-26-1330102024-M#FR,20241014,2
001-26-1330102024-M#FR,20241017,2
001-26-1330102024-M#FR,20241021,2
001-26-1330102024-M#FR,20241024,2
001-26-1330102024-M#FR,20241027,2
001-26-1330122024-M#FR,20241205,2
001-26-1330122024-M#FR,20241212,2
001-26-1415012025-M#FR,20250102,2
001-26-1415122024-M#FR,20241219,2
001-29-1200102024-FR#M,20241014,2
001-29-1200102024-FR#M,20241021,2
001-29-1300102024-FR#M,20241007,2
001-29-1300102024-FR#M,20241010,2
001-29-1300102024-FR#M,20241014,2
001-29-1300102024-FR#M,20241017,2
001-29-1300102024-FR#M,20241021,2
001-29-1300102024-FR#M,20241024,2
001-29-1300102024-FR#M,20241027,2
001-29-1300122024-FR#M,20241209,2
001-29-1325102024-FR#M,20241007,2
001-29-1425122024-FR#M,20241216,2
001-29-1425122024-FR#M,20241223,2
001-3-0555102024-FR#M,20241017,2
001-3-0555102024-FR#M,20241024,2
001-3-0655012025-FR#M,20250109,2
001-3-0655102024-FR#M,20241003,2
001-3-0655102024-FR#M,20241007,2
001-3-0655102024-FR#M,20241010,2
001-3-0655102024-FR#M,20241014,2
001-3-0655102024-FR#M,20241021,2
001-3-0655102024-FR#M,20241027,2
001-3-0655102024-FR#M,20241029,2
001-3-0655102024-FR#M,20241030,2
001-3-0655122024-FR#M,20241205,2
001-3-0655122024-FR#M,20241212,2
001-3-0755012025-FR#M,20250102,2
001-3-0755122024-FR#M,20241219,2
001-3-0755122024-FR#M,20241226,2
001-35-1430102024-FR#M,20241014,2
001-35-1430102024-FR#M,20241021,2
001-35-1530102024-FR#M,20241007,2
001-35-1530102024-FR#M,20241010,2
001-35-1530102024-FR#M,20241014,2
001-35-1530102024-FR#M,20241017,2
001-35-1530102024-FR#M,20241021,2
001-35-1530102024-FR#M,20241024,2
001-35-1530102024-FR#M,20241027,2
001-35-1530122024-FR#M,20241209,2
001-38-1505102024-M#FR,20241017,2
001-38-1505102024-M#FR,20241024,2
001-38-1605012025-M#FR,20250109,2
001-38-1605122024-M#FR,20241205,2
001-38-1605122024-M#FR,20241212,2
001-5-0830102024-FR#M,20241017,2
001-5-0830102024-FR#M,20241024,2
001-5-0930012025-FR#M,20250109,2
001-5-0930122024-FR#M,20241205,2
001-5-0930122024-FR#M,20241212,2
001-8-0750102024-M#FR,20241007,2
001-8-0850122024-M#FR,20241216,2
001-8-0850122024-M#FR,20241223,2
006-1-0830012025-ZH#M,20250108,2
006-1-0830012025-ZH#M,20250109,2
006-1-0830122024-ZH#M,20241203,2
006-1-0830122024-ZH#M,20241204,2
006-1-0830122024-ZH#M,20241210,2
006-1-0830122024-ZH#M,20241211,2
006-1-0830122024-ZH#M,20241217,2
006-1-0830122024-ZH#M,20241218,2
006-2-0720122024-M#ZH,20241217,2
006-2-0720122024-M#ZH,20241218,2
006-3-1330122024-ZH#M,20241217,2
006-3-1330122024-ZH#M,20241218,2
006-8-1620082024-M#ZH,20240812,2
006-8-1720012025-M#ZH,20250108,2
006-8-1720012025-M#ZH,20250109,2
006-8-1720122024-M#ZH,20241203,2
006-8-1720122024-M#ZH,20241204,2
006-8-1720122024-M#ZH,20241210,2
006-8-1720122024-M#ZH,20241211,2
006-8-1720122024-M#ZH,20241217,2
006-8-1720122024-M#ZH,20241218,2
007-72-0715012025-HH#ZH,20250108,2
007-72-0715122024-HH#ZH,20241203,2
007-72-0715122024-HH#ZH,20241204,2
007-72-0715122024-HH#ZH,20241210,2
007-72-0715122024-HH#ZH,20241211,2
007-73-0600012025-ZH#HH,20250108,2
007-73-0600122024-ZH#HH,20241203,2
007-73-0600122024-ZH#HH,20241204,2
007-73-0600122024-ZH#HH,20241210,2
007-73-0600122024-ZH#HH,20241211,2
008-22-0335092024-RTL#FR,20240911,2
008-22-0335092024-RTL#FR,20240918,2
008-22-0335092024-RTL#FR,20240925,2
008-22-0335102024-RTL#FR,20241008,2
008-22-0335102024-RTL#FR,20241015,2
008-22-0335102024-RTL#FR,20241022,2
008-22-0435012025-RTL#FR,20250109,2
008-22-0435122024-RTL#FR,20241203,2
008-22-0435122024-RTL#FR,20241204,2
008-22-0435122024-RTL#FR,20241210,2
008-22-0435122024-RTL#FR,20241211,2
008-22-0435122024-RTL#FR,20241217,2
008-3-0900092024-FR#STF,20240911,2
008-3-0900092024-FR#STF,20240918,2
008-3-0900092024-FR#STF,20240925,2
008-3-0900102024-FR#STF,20241008,2
008-3-0900102024-FR#STF,20241015,2
008-3-0900102024-FR#STF,20241022,2
008-3-1000012025-FR#STF,20250109,2
008-3-1000122024-FR#STF,20241203,2
008-3-1000122024-FR#STF,20241204,2
008-3-1000122024-FR#STF,20241210,2
008-3-1000122024-FR#STF,20241211,2
008-3-1000122024-FR#STF,20241217,2
008-6-1210092024-STF#FR,20240911,2
008-6-1210092024-STF#FR,20240918,2
008-6-1210092024-STF#FR,20240925,2
008-6-1210102024-STF#FR,20241008,2
